username,repo_name,stars,repo_url
bitwarden,server,13700,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,12100,https://github.com/dotnet/AspNetCore.Docs
abpframework,abp,11800,https://github.com/abpframework/abp
aspnetboilerplate,aspnetboilerplate,11400,https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,8600,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7000,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,6600,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6200,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,3500,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,2900,https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
serenity-is,Serenity,2500,https://github.com/serenity-is/Serenity
mjebrahimi,Awesome-Microservices-DotNet,2500,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
loic-sharma,BaGet,2400,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1200,https://github.com/MarimerLLC/csla
smartstore,Smartstore,942,https://github.com/smartstore/Smartstore
antonioCoco,SharPyShell,826,https://github.com/antonioCoco/SharPyShell
