username,repo_name,stars,repo_url
amphp,amp,4100,https://github.com/amphp/amp
danog,MadelineProto,2600,https://github.com/danog/MadelineProto
unreal4u,telegram-api,772,https://github.com/unreal4u/telegram-api
amphp,parallel,706,https://github.com/amphp/parallel
amphp,http-client,675,https://github.com/amphp/http-client
amphp,byte-stream,351,https://github.com/amphp/byte-stream
php-service-bus,service-bus,347,https://github.com/php-service-bus/service-bus
amphp,mysql,330,https://github.com/amphp/mysql
amphp,parallel-functions,256,https://github.com/amphp/parallel-functions
amphp,process,219,https://github.com/amphp/process
amphp,socket,202,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,200,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,147,https://github.com/amphp/sync
amphp,redis,142,https://github.com/amphp/redis
amphp,dns,142,https://github.com/amphp/dns
amphp,websocket-client,127,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,websocket-server,107,https://github.com/amphp/websocket-server
amphp,serialization,101,https://github.com/amphp/serialization
amphp,cache,92,https://github.com/amphp/cache
